"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"11","cluster2","GO:0034754","cellular hormone metabolic process","18/235","172/20876",1.01965544307605e-12,7.29517121546226e-11,5.56175696223298e-11,"AT1G62560/AT1G52200/AT1G24100/AT2G38860/AT5G17990/AT2G43100/AT5G23020/AT1G18590/AT4G39940/AT4G29740/AT5G54810/AT3G26830/AT2G30860/AT2G22330/AT4G31500/AT1G74100/AT3G22890/AT3G54640",18
"12","cluster2","GO:1901659","glycosyl compound biosynthetic process","18/235","181/20876",2.44865580496607e-12,1.53820910591984e-10,1.17271342255642e-10,"AT4G34950/AT4G12030/AT1G62560/AT1G24100/AT2G38860/AT3G03190/AT2G43100/AT5G23020/AT1G18590/AT5G61420/AT4G39940/AT1G65860/AT2G31790/AT2G22330/AT4G31500/AT3G58990/AT1G74100/AT3G22890",18
"13","cluster2","GO:0006576","cellular biogenic amine metabolic process","17/235","157/20876",2.54087908220558e-12,1.53820910591984e-10,1.17271342255642e-10,"AT1G51680/AT4G34050/AT1G52200/AT1G24100/AT2G38860/AT1G65040/AT5G17990/AT1G18590/AT4G39940/AT5G54810/AT2G30860/AT2G22330/AT1G25220/AT4G31500/AT1G74100/AT3G22890/AT3G54640",17
"14","cluster2","GO:0006568","tryptophan metabolic process","14/235","96/20876",3.76173893831946e-12,1.97365902963828e-10,1.50469557532778e-10,"AT1G52200/AT1G24100/AT2G38860/AT5G17990/AT1G18590/AT4G39940/AT5G54810/AT2G30860/AT2G22330/AT1G25220/AT4G31500/AT1G74100/AT3G22890/AT3G54640",14
"15","cluster2","GO:0006586","indolalkylamine metabolic process","14/235","96/20876",3.76173893831946e-12,1.97365902963828e-10,1.50469557532778e-10,"AT1G52200/AT1G24100/AT2G38860/AT5G17990/AT1G18590/AT4G39940/AT5G54810/AT2G30860/AT2G22330/AT1G25220/AT4G31500/AT1G74100/AT3G22890/AT3G54640",14
"16","cluster2","GO:0044106","cellular amine metabolic process","17/235","167/20876",6.94865288690022e-12,3.41786863874405e-10,2.60574483258758e-10,"AT1G51680/AT4G34050/AT1G52200/AT1G24100/AT2G38860/AT1G65040/AT5G17990/AT1G18590/AT4G39940/AT5G54810/AT2G30860/AT2G22330/AT1G25220/AT4G31500/AT1G74100/AT3G22890/AT3G54640",17
"17","cluster2","GO:0009627","systemic acquired resistance","26/235","446/20876",7.82551256152364e-12,3.62275199171712e-10,2.76194560994952e-10,"AT2G35930/AT2G05940/AT5G15120/AT1G42480/AT5G47120/AT2G38860/AT3G48080/AT1G65690/AT2G43000/AT2G36470/AT1G28370/AT5G17990/AT3G50930/AT2G16060/AT4G10500/AT3G60540/AT5G44580/AT3G02550/AT5G50200/AT3G26830/AT1G19180/AT2G30860/AT2G22330/AT1G01560/AT3G54640/AT5G38900",26
"18","cluster2","GO:0016143","S-glycoside metabolic process","18/235","205/20876",2.01625673093319e-11,7.9339702362221e-10,6.04877019279957e-10,"AT4G34950/AT4G12030/AT1G62560/AT1G24100/AT2G38860/AT3G03190/AT2G43100/AT5G23020/AT1G18590/AT5G61420/AT4G39940/AT1G65860/AT2G31790/AT2G22330/AT4G31500/AT3G58990/AT1G74100/AT3G22890",18
"19","cluster2","GO:0019757","glycosinolate metabolic process","18/235","205/20876",2.01625673093319e-11,7.9339702362221e-10,6.04877019279957e-10,"AT4G34950/AT4G12030/AT1G62560/AT1G24100/AT2G38860/AT3G03190/AT2G43100/AT5G23020/AT1G18590/AT5G61420/AT4G39940/AT1G65860/AT2G31790/AT2G22330/AT4G31500/AT3G58990/AT1G74100/AT3G22890",18
"20","cluster2","GO:0019760","glucosinolate metabolic process","18/235","205/20876",2.01625673093319e-11,7.9339702362221e-10,6.04877019279957e-10,"AT4G34950/AT4G12030/AT1G62560/AT1G24100/AT2G38860/AT3G03190/AT2G43100/AT5G23020/AT1G18590/AT5G61420/AT4G39940/AT1G65860/AT2G31790/AT2G22330/AT4G31500/AT3G58990/AT1G74100/AT3G22890",18
"21","cluster2","GO:0009310","amine catabolic process","14/235","117/20876",5.86764491857556e-11,2.09901661405408e-09,1.60026679597515e-09,"AT1G51680/AT4G34050/AT1G52200/AT1G24100/AT2G38860/AT5G17990/AT1G18590/AT4G39940/AT2G30860/AT2G22330/AT4G31500/AT1G74100/AT3G22890/AT3G54640",14
"22","cluster2","GO:0042402","cellular biogenic amine catabolic process","14/235","117/20876",5.86764491857556e-11,2.09901661405408e-09,1.60026679597515e-09,"AT1G51680/AT4G34050/AT1G52200/AT1G24100/AT2G38860/AT5G17990/AT1G18590/AT4G39940/AT2G30860/AT2G22330/AT4G31500/AT1G74100/AT3G22890/AT3G54640",14
"23","cluster2","GO:0006569","tryptophan catabolic process","12/235","79/20876",8.23025822093225e-11,2.69883884161403e-09,2.05756455523306e-09,"AT1G52200/AT1G24100/AT2G38860/AT5G17990/AT1G18590/AT4G39940/AT2G30860/AT2G22330/AT4G31500/AT1G74100/AT3G22890/AT3G54640",12
"24","cluster2","GO:0046218","indolalkylamine catabolic process","12/235","79/20876",8.23025822093225e-11,2.69883884161403e-09,2.05756455523306e-09,"AT1G52200/AT1G24100/AT2G38860/AT5G17990/AT1G18590/AT4G39940/AT2G30860/AT2G22330/AT4G31500/AT1G74100/AT3G22890/AT3G54640",12
"25","cluster2","GO:0042436","indole-containing compound catabolic process","12/235","81/20876",1.11436811790449e-10,3.50803083516333e-09,2.67448348297077e-09,"AT1G52200/AT1G24100/AT2G38860/AT5G17990/AT1G18590/AT4G39940/AT2G30860/AT2G22330/AT4G31500/AT1G74100/AT3G22890/AT3G54640",12
"26","cluster2","GO:0009308","amine metabolic process","18/235","229/20876",1.26587337585005e-10,3.83170133382305e-09,2.92124625196166e-09,"AT1G51680/AT4G34050/AT1G52200/AT1G24100/AT2G38860/AT1G65040/AT5G17990/AT1G18590/AT4G39940/AT4G29740/AT5G54810/AT2G30860/AT2G22330/AT1G25220/AT4G31500/AT1G74100/AT3G22890/AT3G54640",18
"27","cluster2","GO:0009074","aromatic amino acid family catabolic process","12/235","83/20876",1.49610753391676e-10,4.36087640441662e-09,3.3246834087039e-09,"AT1G52200/AT1G24100/AT2G38860/AT5G17990/AT1G18590/AT4G39940/AT2G30860/AT2G22330/AT4G31500/AT1G74100/AT3G22890/AT3G54640",12
"28","cluster2","GO:1901657","glycosyl compound metabolic process","18/235","242/20876",3.1212973024679e-10,8.77307491800798e-09,6.68849421957406e-09,"AT4G34950/AT4G12030/AT1G62560/AT1G24100/AT2G38860/AT3G03190/AT2G43100/AT5G23020/AT1G18590/AT5G61420/AT4G39940/AT1G65860/AT2G31790/AT2G22330/AT4G31500/AT3G58990/AT1G74100/AT3G22890",18
"29","cluster2","GO:0010167","response to nitrate","16/235","197/20876",8.63641496853499e-10,2.34374433801277e-08,1.78684447624862e-08,"AT4G19680/AT3G47040/AT5G17820/AT4G20110/AT3G54420/AT4G38830/AT5G50760/AT3G45410/AT5G51160/AT1G52200/AT2G28960/AT3G48450/AT5G63270/AT4G31910/AT5G50200/AT4G25090",16
"30","cluster2","GO:0042742","defense response to bacterium","22/235","402/20876",1.1365596291222e-09,2.98157476039725e-08,2.27311925824441e-08,"AT2G35930/AT5G06320/AT5G52830/AT2G05940/AT1G24100/AT2G38860/AT2G36470/AT5G17990/AT1G18590/AT5G61420/AT4G39940/AT4G02520/AT1G02920/AT3G26830/AT1G19180/AT2G30860/AT2G22330/AT4G31500/AT1G74100/AT5G64810/AT3G22890/AT3G54640",22
"31","cluster2","GO:0010043","response to zinc ion","10/235","60/20876",1.24300068634963e-09,3.15561787147471e-08,2.40580778003154e-08,"AT4G09110/AT4G33020/AT5G07390/AT1G16150/AT3G45410/AT5G51160/AT2G28960/AT2G21660/AT4G02520/AT2G30860",10
"32","cluster2","GO:0034976","response to endoplasmic reticulum stress","20/235","357/20876",4.5063227649815e-09,1.10827375501264e-07,8.44935518434032e-08,"AT2G05940/AT2G25735/AT1G42480/AT5G47120/AT2G02810/AT5G64510/AT2G38860/AT1G65690/AT1G65040/AT2G43000/AT1G28370/AT5G17990/AT5G40780/AT3G60540/AT5G50200/AT1G19180/AT1G01560/AT3G54640/AT3G57450/AT5G38900",20
"33","cluster2","GO:0015706","nitrate transport","15/235","206/20876",1.3051860476011e-08,3.11267096806687e-07,2.37306554109291e-07,"AT4G19680/AT3G47040/AT5G17820/AT4G20110/AT3G54420/AT4G38830/AT5G50760/AT3G45410/AT5G51160/AT1G52200/AT2G28960/AT4G31910/AT5G50200/AT1G08100/AT4G25090",15
"34","cluster2","GO:0044272","sulfur compound biosynthetic process","22/235","479/20876",2.75387253626455e-08,6.37440495894177e-07,4.85977506399627e-07,"AT4G34950/AT4G34050/AT4G12030/AT1G62560/AT3G03780/AT1G24100/AT2G38860/AT3G03190/AT2G43000/AT2G43100/AT5G23020/AT1G18590/AT5G61420/AT4G39940/AT3G26830/AT1G65860/AT2G31790/AT2G22330/AT4G31500/AT3G58990/AT1G74100/AT3G22890",22
"35","cluster2","GO:0009072","aromatic amino acid family metabolic process","15/235","242/20876",1.1065384741345e-07,2.48813079755387e-06,1.89692309851629e-06,"AT3G44720/AT1G52200/AT1G24100/AT2G38860/AT5G17990/AT1G18590/AT4G39940/AT5G54810/AT2G30860/AT2G22330/AT1G25220/AT4G31500/AT1G74100/AT3G22890/AT3G54640",15
"36","cluster2","GO:0015698","inorganic anion transport","15/235","256/20876",2.29429929076198e-07,5.01559317174911e-06,3.82383215126997e-06,"AT4G19680/AT3G47040/AT5G17820/AT4G20110/AT3G54420/AT4G38830/AT5G50760/AT3G45410/AT5G51160/AT1G52200/AT2G28960/AT4G31910/AT5G50200/AT1G08100/AT4G25090",15
"37","cluster2","GO:1901606","alpha-amino acid catabolic process","12/235","160/20876",2.77661561669431e-07,5.90593646037412e-06,4.50261991896375e-06,"AT1G52200/AT1G24100/AT2G38860/AT5G17990/AT1G18590/AT4G39940/AT2G30860/AT2G22330/AT4G31500/AT1G74100/AT3G22890/AT3G54640",12
"38","cluster2","GO:0009063","cellular amino acid catabolic process","12/235","161/20876",2.97072929233636e-07,6.15253671860189e-06,4.69062519842584e-06,"AT1G52200/AT1G24100/AT2G38860/AT5G17990/AT1G18590/AT4G39940/AT2G30860/AT2G22330/AT4G31500/AT1G74100/AT3G22890/AT3G54640",12
"39","cluster2","GO:0050832","defense response to fungus","17/235","351/20876",5.32544966347444e-07,1.07464843209087e-05,8.19299948226836e-06,"AT2G35930/AT2G05940/AT2G35000/AT2G25735/AT2G39200/AT5G47120/AT2G36470/AT1G28370/AT5G61420/AT4G02520/AT1G02920/AT3G26830/AT1G19180/AT1G01560/AT5G64810/AT3G54640/AT5G38900",17
"40","cluster2","GO:0010243","response to organonitrogen compound","19/235","443/20876",7.16680508422768e-07,1.4100689003218e-05,1.07502076263415e-05,"AT4G01250/AT2G35930/AT3G54420/AT2G35000/AT5G44060/AT2G25735/AT2G39200/AT3G28210/AT1G65040/AT1G28370/AT3G50930/AT3G26830/AT1G19180/AT1G26420/AT3G23230/AT5G09800/AT5G64870/AT3G54640/AT3G57450",19
"41","cluster2","GO:0009611","response to wounding","16/235","335/20876",1.39146295457927e-06,2.67093011037533e-05,2.03628725060381e-05,"AT1G51680/AT2G30490/AT2G05940/AT4G34050/AT5G24760/AT4G12030/AT2G25735/AT1G52200/AT3G28210/AT3G50930/AT5G50200/AT1G19180/AT2G22330/AT1G01560/AT1G74100/AT3G57450",16
"42","cluster2","GO:0010200","response to chitin","18/235","421/20876",1.4827722169742e-06,2.77843270180642e-05,2.11824602424886e-05,"AT4G01250/AT2G35930/AT3G54420/AT2G35000/AT5G44060/AT2G25735/AT2G39200/AT3G28210/AT1G28370/AT3G50930/AT3G26830/AT1G19180/AT1G26420/AT3G23230/AT5G09800/AT5G64870/AT3G54640/AT3G57450",18
"43","cluster2","GO:0000162","tryptophan biosynthetic process","5/235","19/20876",1.77094421752732e-06,3.16757522544091e-05,2.4149239329918e-05,"AT5G17990/AT5G54810/AT1G25220/AT4G31500/AT3G54640",5
"44","cluster2","GO:0046219","indolalkylamine biosynthetic process","5/235","19/20876",1.77094421752732e-06,3.16757522544091e-05,2.4149239329918e-05,"AT5G17990/AT5G54810/AT1G25220/AT4G31500/AT3G54640",5
"45","cluster2","GO:0000041","transition metal ion transport","13/235","231/20876",2.33192163820756e-06,4.07827184282077e-05,3.10922885094341e-05,"AT3G46900/AT4G19680/AT3G47040/AT5G45070/AT5G17820/AT4G38830/AT4G26470/AT3G45410/AT5G51160/AT2G28960/AT5G23830/AT4G31910/AT4G25090",13
"46","cluster2","GO:0043067","regulation of programmed cell death","17/235","396/20876",2.76876149032437e-06,4.73698976714192e-05,3.61142803085788e-05,"AT2G35930/AT1G51680/AT3G12920/AT2G05940/AT3G44720/AT5G49660/AT5G47120/AT3G28210/AT2G36470/AT1G28370/AT5G40780/AT1G77380/AT5G50200/AT3G26830/AT1G19180/AT1G01560/AT3G54640",17
"47","cluster2","GO:0009626","plant-type hypersensitive response","17/235","400/20876",3.16770166494597e-06,5.21635684803076e-05,3.97689213318737e-05,"AT2G35930/AT1G51680/AT2G05940/AT3G54420/AT3G44720/AT5G49660/AT5G47120/AT3G28210/AT2G36470/AT1G28370/AT5G40780/AT1G77380/AT5G50200/AT3G26830/AT1G19180/AT1G01560/AT3G54640",17
"48","cluster2","GO:0034050","host programmed cell death induced by symbiont","17/235","401/20876",3.27520277003878e-06,5.21635684803076e-05,3.97689213318737e-05,"AT2G35930/AT1G51680/AT2G05940/AT3G54420/AT3G44720/AT5G49660/AT5G47120/AT3G28210/AT2G36470/AT1G28370/AT5G40780/AT1G77380/AT5G50200/AT3G26830/AT1G19180/AT1G01560/AT3G54640",17
"49","cluster2","GO:0009309","amine biosynthetic process","6/235","37/20876",3.31407677765614e-06,5.21635684803076e-05,3.97689213318737e-05,"AT1G65040/AT5G17990/AT5G54810/AT1G25220/AT4G31500/AT3G54640",6
"50","cluster2","GO:0042401","cellular biogenic amine biosynthetic process","6/235","37/20876",3.31407677765614e-06,5.21635684803076e-05,3.97689213318737e-05,"AT1G65040/AT5G17990/AT5G54810/AT1G25220/AT4G31500/AT3G54640",6
"51","cluster2","GO:0012501","programmed cell death","18/235","448/20876",3.54907910518305e-06,5.47526866885331e-05,4.17428361030748e-05,"AT2G35930/AT1G51680/AT3G12920/AT2G05940/AT3G54420/AT3G44720/AT5G49660/AT5G47120/AT3G28210/AT2G36470/AT1G28370/AT5G40780/AT1G77380/AT5G50200/AT3G26830/AT1G19180/AT1G01560/AT3G54640",18
"52","cluster2","GO:0010941","regulation of cell death","17/235","404/20876",3.61771246226648e-06,5.47526866885331e-05,4.17428361030748e-05,"AT2G35930/AT1G51680/AT3G12920/AT2G05940/AT3G44720/AT5G49660/AT5G47120/AT3G28210/AT2G36470/AT1G28370/AT5G40780/AT1G77380/AT5G50200/AT3G26830/AT1G19180/AT1G01560/AT3G54640",17
"53","cluster2","GO:0008219","cell death","19/235","496/20876",3.77740397585154e-06,5.60908854527389e-05,4.27630638775646e-05,"AT2G35930/AT1G51680/AT3G12920/AT2G05940/AT3G54420/AT3G44720/AT2G39200/AT5G49660/AT5G47120/AT3G28210/AT2G36470/AT1G28370/AT5G40780/AT1G77380/AT5G50200/AT3G26830/AT1G19180/AT1G01560/AT3G54640",19
"54","cluster2","GO:0010363","regulation of plant-type hypersensitive response","16/235","371/20876",5.16292752711841e-06,7.46993515952155e-05,5.69499503902533e-05,"AT2G35930/AT1G51680/AT2G05940/AT3G44720/AT5G49660/AT5G47120/AT3G28210/AT2G36470/AT1G28370/AT5G40780/AT1G77380/AT5G50200/AT3G26830/AT1G19180/AT1G01560/AT3G54640",16
"55","cluster2","GO:0055076","transition metal ion homeostasis","11/235","176/20876",5.22041211910655e-06,7.46993515952155e-05,5.69499503902533e-05,"AT4G19680/AT3G47040/AT5G17820/AT4G38830/AT3G45410/AT5G51160/AT4G30110/AT2G28960/AT4G31910/AT3G22910/AT4G25090",11
"56","cluster2","GO:0006612","protein targeting to membrane","16/235","374/20876",5.715713098267e-06,8.03261822917166e-05,6.12397831957179e-05,"AT2G35930/AT1G51680/AT2G05940/AT3G44720/AT5G49660/AT5G47120/AT3G28210/AT2G36470/AT1G28370/AT5G40780/AT1G77380/AT5G50200/AT3G26830/AT1G19180/AT1G01560/AT3G54640",16
"57","cluster2","GO:0045088","regulation of innate immune response","17/235","419/20876",5.86382738745121e-06,8.09619676127035e-05,6.17244988152759e-05,"AT2G35930/AT1G51680/AT2G05940/AT3G44720/AT5G49660/AT5G47120/AT3G28210/AT2G36470/AT1G28370/AT5G40780/AT1G77380/AT5G50200/AT3G26830/AT1G19180/AT2G22330/AT1G01560/AT3G54640",17
"58","cluster2","GO:0050776","regulation of immune response","17/235","421/20876",6.24292709157474e-06,8.29092134617335e-05,6.32090572770522e-05,"AT2G35930/AT1G51680/AT2G05940/AT3G44720/AT5G49660/AT5G47120/AT3G28210/AT2G36470/AT1G28370/AT5G40780/AT1G77380/AT5G50200/AT3G26830/AT1G19180/AT2G22330/AT1G01560/AT3G54640",17
"59","cluster2","GO:0072657","protein localization to membrane","16/235","377/20876",6.32090572770522e-06,8.29092134617335e-05,6.32090572770522e-05,"AT2G35930/AT1G51680/AT2G05940/AT3G44720/AT5G49660/AT5G47120/AT3G28210/AT2G36470/AT1G28370/AT5G40780/AT1G77380/AT5G50200/AT3G26830/AT1G19180/AT1G01560/AT3G54640",16
"60","cluster2","GO:0090150","establishment of protein localization to membrane","16/235","377/20876",6.32090572770522e-06,8.29092134617335e-05,6.32090572770522e-05,"AT2G35930/AT1G51680/AT2G05940/AT3G44720/AT5G49660/AT5G47120/AT3G28210/AT2G36470/AT1G28370/AT5G40780/AT1G77380/AT5G50200/AT3G26830/AT1G19180/AT1G01560/AT3G54640",16
"61","cluster2","GO:0009267","cellular response to starvation","14/235","294/20876",6.65059863050658e-06,8.47718157533751e-05,6.46290844371348e-05,"AT4G19680/AT3G47040/AT2G05940/AT5G17820/AT3G17770/AT4G38830/AT3G45410/AT5G51160/AT3G52820/AT2G28960/AT3G04530/AT5G61420/AT4G31910/AT4G25090",14
"62","cluster2","GO:0010106","cellular response to iron ion starvation","9/235","116/20876",6.67833872517059e-06,8.47718157533751e-05,6.46290844371348e-05,"AT4G19680/AT3G47040/AT5G17820/AT4G38830/AT3G45410/AT5G51160/AT2G28960/AT4G31910/AT4G25090",9
"63","cluster2","GO:0002682","regulation of immune system process","17/235","424/20876",6.85290591035702e-06,8.56069357373171e-05,6.52657705748288e-05,"AT2G35930/AT1G51680/AT2G05940/AT3G44720/AT5G49660/AT5G47120/AT3G28210/AT2G36470/AT1G28370/AT5G40780/AT1G77380/AT5G50200/AT3G26830/AT1G19180/AT2G22330/AT1G01560/AT3G54640",17
"64","cluster2","GO:0080135","regulation of cellular response to stress","16/235","385/20876",8.22464929486829e-06,0.000101137484297833,7.71060871393902e-05,"AT2G35930/AT1G51680/AT2G05940/AT3G44720/AT5G49660/AT5G47120/AT3G28210/AT2G36470/AT1G28370/AT5G40780/AT1G77380/AT5G50200/AT3G26830/AT1G19180/AT1G01560/AT3G54640",16
"65","cluster2","GO:0006826","iron ion transport","9/235","120/20876",8.81056637252141e-06,0.00010667562669499,8.13283049771207e-05,"AT4G19680/AT3G47040/AT5G17820/AT4G38830/AT3G45410/AT5G51160/AT2G28960/AT4G31910/AT4G25090",9
"66","cluster2","GO:0042594","response to starvation","14/235","302/20876",9.02263567502746e-06,0.000107588095094646,8.20239606820678e-05,"AT4G19680/AT3G47040/AT2G05940/AT5G17820/AT3G17770/AT4G38830/AT3G45410/AT5G51160/AT3G52820/AT2G28960/AT3G04530/AT5G61420/AT4G31910/AT4G25090",14
"67","cluster2","GO:0046916","cellular transition metal ion homeostasis","10/235","154/20876",1.00601513303026e-05,0.000118169240252957,9.00909074355454e-05,"AT4G19680/AT3G47040/AT5G17820/AT4G38830/AT3G45410/AT5G51160/AT2G28960/AT4G31910/AT3G22910/AT4G25090",10
"68","cluster2","GO:0009723","response to ethylene","15/235","353/20876",1.2188584190638e-05,0.000141064937618119,0.000107546331093865,"AT4G19370/AT3G45410/AT5G47730/AT2G38860/AT3G28210/AT2G43000/AT1G28370/AT3G26830/AT1G19180/AT3G23230/AT1G25220/AT1G01560/AT5G64870/AT1G74100/AT5G38900",15
"69","cluster2","GO:0031669","cellular response to nutrient levels","14/235","312/20876",1.30222890877682e-05,0.000148529587131501,0.000113237296415376,"AT4G19680/AT3G47040/AT2G05940/AT5G17820/AT3G17770/AT4G38830/AT3G45410/AT5G51160/AT3G52820/AT2G28960/AT3G04530/AT5G61420/AT4G31910/AT4G25090",14
"70","cluster2","GO:0006879","cellular iron ion homeostasis","9/235","127/20876",1.39502433706953e-05,0.000156840593324817,0.00011957351460596,"AT4G19680/AT3G47040/AT5G17820/AT4G38830/AT3G45410/AT5G51160/AT2G28960/AT4G31910/AT4G25090",9
"71","cluster2","GO:0052482","defense response by cell wall thickening","4/235","16/20876",2.56136946702693e-05,0.000279971912576416,0.000213447455585578,"AT1G24100/AT2G22330/AT4G31500/AT3G54640",4
"72","cluster2","GO:0052544","defense response by callose deposition in cell wall","4/235","16/20876",2.56136946702693e-05,0.000279971912576416,0.000213447455585578,"AT1G24100/AT2G22330/AT4G31500/AT3G54640",4
"73","cluster2","GO:0098771","inorganic ion homeostasis","12/235","248/20876",2.60914567605739e-05,0.000281287348911941,0.000214450329538964,"AT1G30560/AT4G19680/AT3G47040/AT5G17820/AT4G38830/AT3G45410/AT5G51160/AT4G30110/AT2G28960/AT4G31910/AT3G22910/AT4G25090",12
"74","cluster2","GO:0031667","response to nutrient levels","14/235","335/20876",2.86518596134414e-05,0.00030471639886187,0.00023231237524412,"AT4G19680/AT3G47040/AT2G05940/AT5G17820/AT3G17770/AT4G38830/AT3G45410/AT5G51160/AT3G52820/AT2G28960/AT3G04530/AT5G61420/AT4G31910/AT4G25090",14
"75","cluster2","GO:0009862","systemic acquired resistance, salicylic acid mediated signaling pathway","12/235","251/20876",2.93596236946402e-05,0.000308080317969091,0.000234876989557121,"AT2G35930/AT2G05940/AT5G15120/AT5G47120/AT2G36470/AT1G28370/AT2G16060/AT3G02550/AT3G26830/AT1G19180/AT1G01560/AT3G54640",12
"76","cluster2","GO:1901607","alpha-amino acid biosynthetic process","15/235","382/20876",3.0577115769443e-05,0.000316634080401996,0.00024139828239034,"AT4G34050/AT3G44720/AT1G62560/AT3G03780/AT2G43000/AT5G17990/AT3G02020/AT2G43100/AT5G23020/AT1G18590/AT5G54810/AT2G22330/AT1G25220/AT4G31500/AT3G54640",15
"77","cluster2","GO:0055072","iron ion homeostasis","9/235","141/20876",3.21388558004282e-05,0.000328484149544636,0.000250432642600739,"AT4G19680/AT3G47040/AT5G17820/AT4G38830/AT3G45410/AT5G51160/AT2G28960/AT4G31910/AT4G25090",9
"78","cluster2","GO:0031668","cellular response to extracellular stimulus","14/235","349/20876",4.4744670813476e-05,0.000451462255515457,0.000344189775488277,"AT4G19680/AT3G47040/AT2G05940/AT5G17820/AT3G17770/AT4G38830/AT3G45410/AT5G51160/AT3G52820/AT2G28960/AT3G04530/AT5G61420/AT4G31910/AT4G25090",14
"79","cluster2","GO:0071496","cellular response to external stimulus","14/235","350/20876",4.6149904318047e-05,0.000459746515168392,0.000350505602415547,"AT4G19680/AT3G47040/AT2G05940/AT5G17820/AT3G17770/AT4G38830/AT3G45410/AT5G51160/AT3G52820/AT2G28960/AT3G04530/AT5G61420/AT4G31910/AT4G25090",14
